id_commande,id_client,date_commande,montant_total,statut
1,6,2023-12-25,25127.39,En cours
2,14,2025-11-17,28547.43,Annulé
3,15,2024-10-04,30868.22,En cours
4,1,2025-09-15,41189.97,En cours
5,2,2025-08-01,27580.12,En cours
6,8,2023-12-22,14028.67,En cours
7,4,2025-05-03,17490.69,Annulé
8,14,2024-09-12,2034.66,Livré
9,8,2025-04-27,15009.34,Annulé
10,4,2024-02-25,5422.63,Livré
11,5,2025-10-26,25578.71,En cours
12,13,2025-05-09,28250.34,Annulé
13,3,2024-03-10,10294.63,Annulé
14,2,2024-02-11,46866.78,Annulé
15,6,2024-08-11,1901.29,En cours
